Place,Date,Time,Value,Unit,Value,Unit,Value,Unit,Value,Unit
129,10/4/2021,13:19:52,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
130,10/4/2021,13:19:53,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
131,10/4/2021,13:19:54,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
132,10/4/2021,13:19:55,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
133,10/4/2021,13:19:56,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
134,10/4/2021,13:19:57,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
135,10/4/2021,13:19:58,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
136,10/4/2021,13:19:59,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
137,10/4/2021,13:20:00,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
138,10/4/2021,13:20:01,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
139,10/4/2021,13:20:02,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
140,10/4/2021,13:20:03,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
141,10/4/2021,13:20:04,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
142,10/4/2021,13:20:05,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
143,10/4/2021,13:20:06,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
144,10/4/2021,13:20:07,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
145,10/4/2021,13:20:08,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
146,10/4/2021,13:20:09,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
147,10/4/2021,13:20:10,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
148,10/4/2021,13:20:11,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
149,10/4/2021,13:20:12,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
150,10/4/2021,13:20:13,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
151,10/4/2021,13:20:14,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
152,10/4/2021,13:20:15,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
153,10/4/2021,13:20:16,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
154,10/4/2021,13:20:17,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
155,10/4/2021,13:20:18,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
156,10/4/2021,13:20:19,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
157,10/4/2021,13:20:20,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
158,10/4/2021,13:20:21,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
159,10/4/2021,13:20:22,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
160,10/4/2021,13:20:23,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
161,10/4/2021,13:20:24,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
162,10/4/2021,13:20:25,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
163,10/4/2021,13:20:26,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
164,10/4/2021,13:20:27,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
165,10/4/2021,13:20:28,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
166,10/4/2021,13:20:29,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
167,10/4/2021,13:20:30,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
168,10/4/2021,13:20:31,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
169,10/4/2021,13:20:32,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
170,10/4/2021,13:20:33,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
171,10/4/2021,13:20:34,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
172,10/4/2021,13:20:35,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
173,10/4/2021,13:20:36,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
174,10/4/2021,13:20:37,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
175,10/4/2021,13:20:38,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
176,10/4/2021,13:20:39,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
177,10/4/2021,13:20:40,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
178,10/4/2021,13:20:41,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
179,10/4/2021,13:20:42,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
180,10/4/2021,13:20:43,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
181,10/4/2021,13:20:44,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
182,10/4/2021,13:20:45,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
183,10/4/2021,13:20:46,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
184,10/4/2021,13:20:47,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
185,10/4/2021,13:20:48,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
186,10/4/2021,13:20:49,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
187,10/4/2021,13:20:50,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
188,10/4/2021,13:20:51,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
189,10/4/2021,13:20:52,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
190,10/4/2021,13:20:53,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
191,10/4/2021,13:20:54,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
192,10/4/2021,13:20:55,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
193,10/4/2021,13:20:56,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
194,10/4/2021,13:20:57,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
